paper_id,year,title,venue,url,authors,author_ids,n_authors,venue_rank
N19-1046,2019,Understanding and Improving Hidden Representations for Neural Machine Translation,naacl,https://aclanthology.org/N19-1046/,Guanlin Li; Lemao Liu; Xintong Li; Conghui Zhu; Tiejun Zhao; Shuming Shi,guanlin-li; lemao-liu; xintong-li-cuhk; conghui-zhu; tiejun-zhao; shuming-shi,6,2
N19-1221,2019,Abusive Language Detection with Graph Convolutional Networks,naacl,https://aclanthology.org/N19-1221/,Pushkar Mishra; Marco Del Tredici; Helen Yannakoudakis; Ekaterina Shutova,pushkar-mishra; marco-del-tredici; helen-yannakoudakis; ekaterina-shutova,4,2
N19-2010,2019,A Case Study on Neural Headline Generation for Editing Support,naacl,https://aclanthology.org/N19-2010/,Kazuma Murao; Ken Kobayashi; Hayato Kobayashi; Taichi Yatsuka; Takeshi Masuyama; Tatsuru Higurashi; Yoshimune Tabuchi,kazuma-murao; ken-kobayashi; hayato-kobayashi; taichi-yatsuka; takeshi-masuyama; tatsuru-higurashi; yoshimune-tabuchi,7,2
N19-1343,2019,Decomposed Local Models for Coordinate Structure Parsing,naacl,https://aclanthology.org/N19-1343/,Hiroki Teranishi; Hiroyuki Shindo; Yuji Matsumoto,hiroki-teranishi; hiroyuki-shindo; yuji-matsumoto,3,2
N19-1335,2019,Benchmarking Approximate Inference Methods for Neural Structured Prediction,naacl,https://aclanthology.org/N19-1335/,Lifu Tu; Kevin Gimpel,lifu-tu; kevin-gimpel,2,2
N19-1017,2019,Phylogenic Multi-Lingual Dependency Parsing,naacl,https://aclanthology.org/N19-1017/,Mathieu Dehouck; Pascal Denis,mathieu-dehouck; pascal-denis,2,2
N19-1049,2019,Evaluating Style Transfer for Text,naacl,https://aclanthology.org/N19-1049/,Remi Mir; Bjarke Felbo; Nick Obradovich; Iyad Rahwan,remi-mir; bjarke-felbo; nick-obradovich; iyad-rahwan,4,2
W19-2309,2019,Neural Text Style Transfer via Denoising and Reranking,naacl,https://aclanthology.org/W19-2309/,Joseph Lee; Ziang Xie; Cindy Wang; Max Drach; Dan Jurafsky; Andrew Ng,joseph-lee; ziang-xie; cindy-wang; max-drach; dan-jurafsky; andrew-y-ng,6,2
N19-2008,2019,Detecting Customer Complaint Escalation with Recurrent Neural Networks and Manually-Engineered Features,naacl,https://aclanthology.org/N19-2008/,Wei Yang; Luchen Tan; Chunwei Lu; Anqi Cui; Han Li; Xi Chen; Kun Xiong; Muzi Wang; Ming Li; Jian Pei; Jimmy Lin,wei-yang; luchen-tan; chunwei-lu; anqi-cui; han-li; xi-chen; kun-xiong; muzi-wang; ming-li; jian-pei; jimmy-lin,11,2
N19-1004,2019,Neural language models as psycholinguistic subjects: Representations of syntactic state,naacl,https://aclanthology.org/N19-1004/,Richard Futrell; Ethan Wilcox; Takashi Morita; Peng Qian; Miguel Ballesteros; Roger Levy,richard-futrell; ethan-wilcox; takashi-morita; peng-qian; miguel-ballesteros; roger-levy,6,2
N19-1288,2019,Distant Supervision Relation Extraction with Intra-Bag and Inter-Bag Attentions,naacl,https://aclanthology.org/N19-1288/,Zhi-Xiu Ye; Zhen-Hua Ling,zhi-xiu-ye; zhen-hua-ling,2,2
N19-2017,2019,Extraction of Message Sequence Charts from Software Use-Case Descriptions,naacl,https://aclanthology.org/N19-2017/,Girish Palshikar; Nitin Ramrakhiyani; Sangameshwar Patil; Sachin Pawar; Swapnil Hingmire; Vasudeva Varma; Pushpak Bhattacharyya,girish-palshikar; nitin-ramrakhiyani; sangameshwar-patil; sachin-pawar; swapnil-hingmire; vasudeva-varma; pushpak-bhattacharyya,7,2
N19-1061,2019,Lipstick on a Pig: Debiasing Methods Cover up Systematic Gender Biases in Word Embeddings But do not Remove Them,naacl,https://aclanthology.org/N19-1061/,Hila Gonen; Yoav Goldberg,hila-gonen; yoav-goldberg,2,2
N19-1197,2019,Shifting the Baseline: Single Modality Performance on Visual Navigation & QA,naacl,https://aclanthology.org/N19-1197/,Jesse Thomason; Daniel Gordon; Yonatan Bisk,jesse-thomason; daniel-gordon; yonatan-bisk,3,2
N19-1340,2019,Semantic Role Labeling with Associated Memory Network,naacl,https://aclanthology.org/N19-1340/,Chaoyu Guan; Yuhao Cheng; Hai Zhao,chaoyu-guan; yuhao-cheng; hai-zhao,3,2
W19-2610,2019,Textual and Visual Characteristics of Mathematical Expressions in Scholar Documents,naacl,https://aclanthology.org/W19-2610/,Vidas Daudaravicius,vidas-daudaravicius,1,2
N19-1111,2019,What just happened? Evaluating retrofitted distributional word vectors,naacl,https://aclanthology.org/N19-1111/,Dmetri Hayes,dmetri-hayes,1,2
