Method,K,Purity,Coverage,LRAP_mean,LRAP_std,nDCG@1_mean,nDCG@1_std,V_measure,PairF1
LDA,30,0.2445395290851593,1.0,0.5079694757128911,0.029229562359905457,0.32891603053435114,0.03965476988893204,0.2777106778485603,0.17040600346353665
NMF,30,0.2935382127761841,1.0,0.5851668051779432,0.03554230366789338,0.4449606576629477,0.04330238653716437,0.3239141580560965,0.1858881606945272
BERTopic-SPECTER2,52,0.32371920195948845,1.0,0.6506128957687403,0.03658665079742928,0.5151215502055196,0.04779958186512566,0.46862940230665523,0.28941829314963646
BERTopic-general (MPNet),60,0.32670688522788177,1.0,0.6507911226689747,0.03166413109317915,0.5087234292425132,0.04269549659728937,0.45654257529024905,0.2338963789451934
SentSPECTER,187,0.6544448137283325,0.9785604900459418,0.6679034068683123,0.031062106358238434,0.5403063484251969,0.041728545916290556,0.5319252765436426,0.2677276939009102
SentSPECTER-top30,30,0.47206899523735046,0.7917304747320061,0.6367430216451877,0.04599269610663966,0.5116990291262136,0.05567937450522341,0.4711120416366364,0.36511044963183453
ACC (ours),80,0.6888192296028137,0.8392036753445635,0.6741087687310378,0.038321356013905544,0.5795464474363556,0.04638464626916307,0.5704988024608373,0.36069451672422764
ACC-top30,30,0.6180902123451233,0.7059724349157733,0.693485226878986,0.036229529047426295,0.5955624568668046,0.041976503080350544,0.5522000446027465,0.4033257631163632
