tag,k_gt,n_clusters,n_eval_papers,n_stop_2020_2021,purity,coverage,lrap,lrap_std,ndcg,ndcg_std,vmeasure,pairf1,noise_pct,headline_sign_preserved
qwen,1,80,4488,653,0.6888192296028137,0.8392036753445635,0.6741087687310378,0.0383213560139055,0.5795464474363556,0.046384646269163,0.5704988024608373,0.3606945167242276,36.076254826254825,15
gptoss,1,116,4485,652,0.6378272175788879,0.8926380368098159,0.6513288960932644,0.0245258196633346,0.5495838069976,0.033773237703216,0.5406266149903048,0.2961828836914629,46.51105891563907,15
